family,label,formula,structure_type,structure_conf,voltage_V,voltage_conf,capacity_mAh_g,capacity_conf,thermal_C,formation_energy_eV,fe_confidence,is_stable,synthesizability,zfc_satisfied,is_rediscovery,closest_known,closest_distance,nearest_3
NMC layered,NMC-Ni0.20Mn0.70Co0.10,LiNi0.2Mn0.7Co0.1O2,layered,0.98,3.727,0.95,413.7,0.89,236,-1.887,0.95,True,0.842,3/4,False,NMC111,0.4546,NMC111(0.455); NMC622(0.648); NMC811(0.849)
NMC layered,NMC-Ni0.20Mn0.80Co0.00,LiNi0.2Mn0.8Co0.0O2,layered,0.98,3.711,0.95,432.0,0.88,240,-1.902,0.95,True,0.843,3/4,False,NMC111,0.5888,NMC111(0.589); NMC622(0.748); NMC811(0.927)
NMC layered,NMC-Ni0.30Mn0.00Co0.70,LiNi0.3Mn0.0Co0.7O2,layered,0.98,3.746,0.95,384.1,0.90,199,-1.858,0.95,True,0.929,4/4,False,LCO,0.4243,LCO(0.424); NMC111(0.497); NMC622(0.616)
NMC layered,NMC-Ni0.30Mn0.10Co0.60,LiNi0.3Mn0.1Co0.6O2,layered,0.98,3.754,0.95,375.8,0.91,206,-1.855,0.95,True,0.929,4/4,False,NMC111,0.3559,NMC111(0.356); LCO(0.510); NMC622(0.510)
NMC layered,NMC-Ni0.30Mn0.20Co0.50,LiNi0.3Mn0.2Co0.5O2,layered,0.98,3.769,0.95,360.3,0.92,214,-1.857,0.95,True,0.929,4/4,False,NMC111,0.2160,NMC111(0.216); NMC622(0.424); LCO(0.616)
NMC layered,NMC-Ni0.30Mn0.30Co0.40,LiNi0.3Mn0.3Co0.4O2,layered,0.98,3.807,0.95,327.2,0.94,225,-1.870,0.95,True,0.929,4/4,False,NMC111,0.0816,NMC111(0.082); NMC622(0.374); NMC811(0.616)
NMC layered,NMC-Ni0.30Mn0.40Co0.30,LiNi0.3Mn0.4Co0.3O2,layered,0.98,3.808,0.95,328.2,0.94,229,-1.872,0.95,True,0.929,4/4,False,NMC111,0.0816,NMC111(0.082); NMC622(0.374); NMC811(0.616)
NMC layered,NMC-Ni0.30Mn0.50Co0.20,LiNi0.3Mn0.5Co0.2O2,layered,0.98,3.768,0.95,366.8,0.92,228,-1.866,0.95,True,0.929,4/4,False,NMC111,0.2160,NMC111(0.216); NMC622(0.424); NMC811(0.648)
NMC layered,NMC-Ni0.30Mn0.60Co0.10,LiNi0.3Mn0.6Co0.1O2,layered,0.98,3.743,0.95,392.8,0.90,230,-1.871,0.95,True,0.929,4/4,False,NMC111,0.3559,NMC111(0.356); NMC622(0.510); NMC811(0.707)
NMC layered,NMC-Ni0.30Mn0.70Co0.00,LiNi0.3Mn0.7Co0.0O2,layered,0.98,3.724,0.95,414.4,0.89,233,-1.881,0.95,True,0.842,3/4,False,NMC111,0.4967,NMC111(0.497); NMC622(0.616); NMC811(0.787)
NMC layered,NMC-Ni0.40Mn0.00Co0.60,LiNi0.4Mn0.0Co0.6O2,layered,0.98,3.744,0.95,379.4,0.90,198,-1.843,0.95,True,0.928,4/4,False,NMC111,0.4320,NMC111(0.432); NMC622(0.490); LCO(0.566)
NMC layered,NMC-Ni0.40Mn0.10Co0.50,LiNi0.4Mn0.1Co0.5O2,layered,0.98,3.760,0.95,364.7,0.92,205,-1.843,0.95,True,0.928,4/4,False,NMC111,0.2944,NMC111(0.294); NMC622(0.374); NMC811(0.566)
NMC layered,NMC-Ni0.40Mn0.20Co0.40,LiNi0.4Mn0.2Co0.4O2,layered,0.98,3.783,0.95,343.6,0.93,213,-1.850,0.95,True,0.929,4/4,False,NMC111,0.1633,NMC111(0.163); NMC622(0.283); NMC811(0.510)
NMC layered,NMC-Ni0.40Mn0.30Co0.30,LiNi0.4Mn0.3Co0.3O2,layered,0.98,3.807,0.95,323.4,0.94,221,-1.844,0.95,True,0.928,4/4,False,NMC111,0.0816,NMC111(0.082); NMC622(0.245); NMC811(0.490)
NMC layered,NMC-Ni0.40Mn0.40Co0.20,LiNi0.4Mn0.4Co0.2O2,layered,0.98,3.785,0.95,346.2,0.93,222,-1.833,0.95,True,0.928,4/4,False,NMC111,0.1633,NMC111(0.163); NMC622(0.283); NMC811(0.510)
NMC layered,NMC-Ni0.40Mn0.50Co0.10,LiNi0.4Mn0.5Co0.1O2,layered,0.98,3.759,0.95,373.1,0.91,223,-1.858,0.95,True,0.929,4/4,False,NMC111,0.2944,NMC111(0.294); NMC622(0.374); NMC811(0.566)
NMC layered,NMC-Ni0.40Mn0.60Co0.00,LiNi0.4Mn0.6Co0.0O2,layered,0.98,3.737,0.95,396.7,0.90,226,-1.865,0.95,True,0.929,4/4,False,NMC111,0.4320,NMC111(0.432); NMC622(0.490); NMC811(0.648)
NMC layered,NMC-Ni0.50Mn0.00Co0.50,LiNi0.5Mn0.0Co0.5O2,layered,0.98,3.748,0.95,370.9,0.91,196,-1.830,0.95,True,0.928,4/4,False,NMC622,0.3742,NMC622(0.374); NMC111(0.408); NMC811(0.510)
NMC layered,NMC-Ni0.50Mn0.10Co0.40,LiNi0.5Mn0.1Co0.4O2,layered,0.98,3.769,0.95,352.3,0.92,202,-1.801,0.95,True,0.927,4/4,False,NMC622,0.2449,NMC622(0.245); NMC111(0.294); NMC811(0.424)
NMC layered,NMC-Ni0.50Mn0.20Co0.30,LiNi0.5Mn0.2Co0.3O2,layered,0.98,3.791,0.95,333.1,0.94,207,-1.812,0.95,True,0.927,4/4,False,NMC622,0.1414,NMC622(0.141); NMC111(0.216); NMC811(0.374)
NMC layered,NMC-Ni0.50Mn0.30Co0.20,LiNi0.5Mn0.3Co0.2O2,layered,0.98,3.792,0.95,334.0,0.94,212,-1.817,0.95,True,0.928,4/4,False,NMC622,0.1414,NMC622(0.141); NMC111(0.216); NMC811(0.374)
NMC layered,NMC-Ni0.50Mn0.40Co0.10,LiNi0.5Mn0.4Co0.1O2,layered,0.98,3.771,0.95,356.4,0.92,215,-1.816,0.95,True,0.928,4/4,False,NMC622,0.2449,NMC622(0.245); NMC111(0.294); NMC811(0.424)
NMC layered,NMC-Ni0.50Mn0.50Co0.00,LiNi0.5Mn0.5Co0.0O2,layered,0.98,3.748,0.95,380.6,0.91,219,-1.815,0.95,True,0.928,4/4,False,NMC622,0.3742,NMC622(0.374); NMC111(0.408); NMC811(0.510)
NMC layered,NMC-Ni0.60Mn0.00Co0.40,LiNi0.6Mn0.0Co0.4O2,layered,0.98,3.755,0.95,360.6,0.92,192,-1.785,0.95,True,0.927,4/4,False,NMC622,0.2828,NMC622(0.283); NMC811(0.374); NMC111(0.432)
NMC layered,NMC-Ni0.60Mn0.10Co0.30,LiNi0.6Mn0.1Co0.3O2,layered,0.98,3.783,0.95,335.6,0.94,197,-1.794,0.95,True,0.927,4/4,False,NMC622,0.1414,NMC622(0.141); NMC811(0.283); NMC111(0.356)
NMC layered,NMC-Ni0.60Mn0.20Co0.20,LiNi0.6Mn0.2Co0.2O2,layered,0.98,3.847,0.93,283.2,0.95,202,-1.818,0.95,True,0.928,4/4,True,NMC622,0.0000,NMC622(0.000); NMC811(0.245); NMC111(0.327)
NMC layered,NMC-Ni0.60Mn0.30Co0.10,LiNi0.6Mn0.3Co0.1O2,layered,0.98,3.786,0.95,337.4,0.94,206,-1.804,0.95,True,0.927,4/4,False,NMC622,0.1414,NMC622(0.141); NMC811(0.283); NMC111(0.356)
NMC layered,NMC-Ni0.60Mn0.40Co0.00,LiNi0.6Mn0.4Co0.0O2,layered,0.98,3.758,0.95,366.1,0.92,211,-1.805,0.95,True,0.927,4/4,False,NMC622,0.2828,NMC622(0.283); NMC811(0.374); NMC111(0.432)
NMC layered,NMC-Ni0.70Mn0.00Co0.30,LiNi0.7Mn0.0Co0.3O2,layered,0.98,3.763,0.95,349.8,0.92,188,-1.777,0.95,True,0.926,4/4,False,NMC622,0.2449,NMC622(0.245); NMC811(0.245); NMC111(0.497)
NMC layered,NMC-Ni0.70Mn0.10Co0.20,LiNi0.7Mn0.1Co0.2O2,layered,0.98,3.791,0.95,325.8,0.94,191,-1.781,0.95,True,0.926,4/4,False,NMC622,0.1414,NMC622(0.141); NMC811(0.141); NMC111(0.455)
NMC layered,NMC-Ni0.70Mn0.20Co0.10,LiNi0.7Mn0.2Co0.1O2,layered,0.98,3.792,0.95,326.6,0.94,195,-1.787,0.95,True,0.927,4/4,False,NMC622,0.1414,NMC622(0.141); NMC811(0.141); NMC111(0.455)
NMC layered,NMC-Ni0.70Mn0.30Co0.00,LiNi0.7Mn0.3Co0.0O2,layered,0.98,3.767,0.95,352.7,0.92,201,-1.792,0.95,True,0.927,4/4,False,NMC622,0.2449,NMC622(0.245); NMC811(0.245); NMC111(0.497)
NMC layered,NMC-Ni0.80Mn0.00Co0.20,LiNi0.8Mn0.0Co0.2O2,layered,0.98,3.772,0.95,338.7,0.93,182,-1.766,0.95,True,0.926,4/4,False,NMC811,0.1414,NMC811(0.141); NMC622(0.283); NMC111(0.589)
NMC layered,NMC-Ni0.80Mn0.10Co0.10,LiNi0.8Mn0.1Co0.1O2,layered,0.98,3.840,0.93,282.2,0.95,176,-1.755,0.95,True,0.925,4/4,True,NMC811,0.0000,NMC811(0.000); NMC622(0.245); NMC111(0.572)
NMC layered,NMC-Ni0.80Mn0.20Co0.00,LiNi0.8Mn0.2Co0.0O2,layered,0.98,3.775,0.95,340.2,0.93,191,-1.775,0.95,True,0.926,4/4,False,NMC811,0.1414,NMC811(0.141); NMC622(0.283); NMC111(0.589)
NMC layered,NMC-Ni0.90Mn0.00Co0.10,LiNi0.9Mn0.0Co0.1O2,layered,0.98,3.764,0.95,343.5,0.93,178,-1.754,0.95,True,0.925,4/4,False,NMC811,0.1414,NMC811(0.141); NMC622(0.374); NMC111(0.698)
NMC layered,NMC-Ni0.90Mn0.10Co0.00,LiNi0.9Mn0.1Co0.0O2,layered,0.98,3.766,0.95,344.3,0.93,183,-1.757,0.95,True,0.926,4/4,False,NMC811,0.1414,NMC811(0.141); NMC622(0.374); NMC111(0.698)
NCA layered,NCA-Ni0.70Co0.28Al0.02,LiNi0.7Co0.28Al0.02O2,layered,0.98,3.771,0.95,348.2,0.93,188,-1.775,0.95,True,0.926,4/4,False,NMC811,0.2298,NMC811(0.230); NMC622(0.238); NMC111(0.499)
NCA layered,NCA-Ni0.70Co0.25Al0.05,LiNi0.7Co0.25Al0.05O2,layered,0.98,3.781,0.95,346.9,0.93,189,-1.774,0.95,True,0.926,4/4,False,NMC811,0.2121,NMC811(0.212); NMC622(0.235); NMC111(0.505)
NCA layered,NCA-Ni0.70Co0.22Al0.08,LiNi0.7Co0.22Al0.08O2,layered,0.98,3.790,0.95,347.1,0.93,189,-1.773,0.95,True,0.926,4/4,False,NMC811,0.2020,NMC811(0.202); NMC622(0.238); NMC111(0.515)
NCA layered,NCA-Ni0.70Co0.20Al0.10,LiNi0.7Co0.2Al0.1O2,layered,0.98,3.795,0.95,348.2,0.93,190,-1.772,0.95,True,0.926,4/4,False,NMC811,0.2000,NMC811(0.200); NMC622(0.245); NMC111(0.523)
NCA layered,NCA-Ni0.70Co0.15Al0.15,LiNi0.7Co0.15Al0.15O2,layered,0.98,3.803,0.95,354.4,0.93,192,-1.771,0.95,True,0.926,4/4,False,NMC811,0.2121,NMC811(0.212); NMC622(0.274); NMC111(0.549)
NCA layered,NCA-Ni0.75Co0.23Al0.02,LiNi0.75Co0.23Al0.02O2,layered,0.98,3.775,0.95,342.7,0.93,185,-1.770,0.95,True,0.926,4/4,False,NMC811,0.1726,NMC811(0.173); NMC622(0.253); NMC111(0.544)
NCA layered,NCA-Ni0.75Co0.20Al0.05,LiNi0.75Co0.2Al0.05O2,layered,0.98,3.785,0.95,341.3,0.93,186,-1.768,0.95,True,0.926,4/4,False,NMC811,0.1581,NMC811(0.158); NMC622(0.255); NMC111(0.552)
NCA layered,NCA-Ni0.75Co0.17Al0.08,LiNi0.75Co0.17Al0.08O2,layered,0.98,3.794,0.95,342.2,0.93,186,-1.767,0.95,True,0.926,4/4,False,NMC811,0.1543,NMC811(0.154); NMC622(0.264); NMC111(0.564)
NCA layered,NCA-Ni0.75Co0.15Al0.10,LiNi0.75Co0.15Al0.1O2,layered,0.98,3.798,0.95,344.3,0.93,187,-1.767,0.95,True,0.926,4/4,False,NMC811,0.1581,NMC811(0.158); NMC622(0.274); NMC111(0.573)
NCA layered,NCA-Ni0.75Co0.10Al0.15,LiNi0.75Co0.1Al0.15O2,layered,0.98,3.803,0.95,353.9,0.93,189,-1.767,0.95,True,0.926,4/4,False,NMC811,0.1871,NMC811(0.187); NMC622(0.308); NMC111(0.601)
NCA layered,NCA-Ni0.80Co0.18Al0.02,LiNi0.8Co0.18Al0.02O2,layered,0.98,3.780,0.95,336.6,0.93,182,-1.765,0.95,True,0.926,4/4,False,NMC811,0.1296,NMC811(0.130); NMC622(0.284); NMC111(0.594)
NCA layered,NCA-Ni0.80Co0.15Al0.05,LiNi0.8Co0.15Al0.05O2,layered,0.98,3.790,0.95,336.0,0.93,182,-1.765,0.95,True,0.926,4/4,False,NMC811,0.1225,NMC811(0.122); NMC622(0.292); NMC111(0.604)
NCA layered,NCA-Ni0.80Co0.12Al0.08,LiNi0.8Co0.12Al0.08O2,layered,0.98,3.796,0.95,339.4,0.93,184,-1.764,0.95,True,0.926,4/4,False,NMC811,0.1296,NMC811(0.130); NMC622(0.305); NMC111(0.617)
NCA layered,NCA-Ni0.80Co0.10Al0.10,LiNi0.8Co0.1Al0.1O2,layered,0.98,3.797,0.95,343.5,0.93,185,-1.763,0.95,True,0.926,4/4,False,NMC811,0.1414,NMC811(0.141); NMC622(0.316); NMC111(0.627)
NCA layered,NCA-Ni0.80Co0.05Al0.15,LiNi0.8Co0.05Al0.15O2,layered,0.98,3.798,0.95,357.2,0.92,188,-1.763,0.95,True,0.926,4/4,False,NMC811,0.1871,NMC811(0.187); NMC622(0.354); NMC111(0.657)
NCA layered,NCA-Ni0.85Co0.13Al0.02,LiNi0.85Co0.13Al0.02O2,layered,0.98,3.780,0.95,335.5,0.93,180,-1.761,0.95,True,0.926,4/4,False,NMC811,0.1175,NMC811(0.117); NMC622(0.328); NMC111(0.648)
NCA layered,NCA-Ni0.85Co0.10Al0.05,LiNi0.85Co0.1Al0.05O2,layered,0.98,3.787,0.95,338.2,0.93,181,-1.760,0.95,True,0.926,4/4,False,NMC811,0.1225,NMC811(0.122); NMC622(0.339); NMC111(0.660)
NCA layered,NCA-Ni0.85Co0.07Al0.08,LiNi0.85Co0.07Al0.08O2,layered,0.98,3.789,0.95,344.8,0.93,182,-1.759,0.95,True,0.926,4/4,False,NMC811,0.1407,NMC811(0.141); NMC622(0.355); NMC111(0.674)
NCA layered,NCA-Ni0.85Co0.05Al0.10,LiNi0.85Co0.05Al0.1O2,layered,0.98,3.789,0.95,350.3,0.93,184,-1.758,0.95,True,0.926,4/4,False,NMC811,0.1581,NMC811(0.158); NMC622(0.367); NMC111(0.684)
NCA layered,NCA-Ni0.85Co0.00Al0.15,LiNi0.85Co0.0Al0.15O2,layered,0.98,3.788,0.95,365.5,0.92,187,-1.759,0.95,True,0.926,4/4,False,NMC811,0.2121,NMC811(0.212); NMC622(0.406); NMC111(0.715)
NCA layered,NCA-Ni0.90Co0.08Al0.02,LiNi0.9Co0.08Al0.02O2,layered,0.98,3.769,0.95,345.1,0.93,179,-1.753,0.95,True,0.925,4/4,False,NMC811,0.1442,NMC811(0.144); NMC622(0.381); NMC111(0.705)
NCA layered,NCA-Ni0.90Co0.05Al0.05,LiNi0.9Co0.05Al0.05O2,layered,0.98,3.772,0.95,350.1,0.92,181,-1.751,0.95,True,0.925,4/4,False,NMC811,0.1581,NMC811(0.158); NMC622(0.394); NMC111(0.718)
NCA layered,NCA-Ni0.90Co0.02Al0.08,LiNi0.9Co0.02Al0.08O2,layered,0.98,3.774,0.95,357.3,0.92,182,-1.751,0.95,True,0.925,4/4,False,NMC811,0.1811,NMC811(0.181); NMC622(0.411); NMC111(0.733)
NCA layered,NCA-Ni0.90Co-0.00Al0.10,LiNi0.9Co-0.0Al0.1O2,layered,0.83,3.711,0.94,395.1,0.84,196,-1.869,0.92,True,0.835,3/4,False,NMC622,0.8832,NMC622(0.883); LCO(0.906); NMC811(0.917)
NCA layered,NCA-Ni0.95Co0.03Al0.02,LiNi0.95Co0.03Al0.02O2,layered,0.98,3.752,0.95,359.8,0.92,179,-1.737,0.95,True,0.925,4/4,False,NMC811,0.1944,NMC811(0.194); NMC622(0.438); NMC111(0.764)
NCA layered,NCA-Ni0.95Co0.00Al0.05,LiNi0.95Co0.0Al0.05O2,layered,0.98,3.755,0.95,365.2,0.92,181,-1.739,0.95,True,0.925,4/4,False,NMC811,0.2121,NMC811(0.212); NMC622(0.453); NMC111(0.778)
Olivine phosphate,Olivine-Mn0.0Fe1.0,LiFePO4,olivine,0.98,3.403,0.95,170.4,0.95,399,-1.910,0.95,True,0.931,4/4,True,LFP,0.0000,LFP(0.000); LMO(2.449); NMC111(2.517)
Olivine phosphate,Olivine-Mn0.1Fe0.9,LiMn0.1Fe0.9PO4,olivine,0.98,3.744,0.94,207.4,0.94,378,-1.924,0.95,True,0.844,3/4,False,LFP,0.1414,LFP(0.141); LMO(2.328); NMC111(2.467)
Olivine phosphate,Olivine-Mn0.2Fe0.8,LiMn0.2Fe0.8PO4,olivine,0.98,3.768,0.95,211.1,0.95,362,-1.930,0.95,True,0.844,3/4,False,LFP,0.2828,LFP(0.283); LMO(2.209); NMC111(2.425)
Olivine phosphate,Olivine-Mn0.3Fe0.7,LiMn0.3Fe0.7PO4,olivine,0.97,3.790,0.95,214.1,0.95,349,-1.885,0.95,True,0.842,3/4,False,LFP,0.4243,LFP(0.424); LMO(2.093); NMC111(2.390)
Olivine phosphate,Olivine-Mn0.4Fe0.6,LiMn0.4Fe0.6PO4,olivine,0.97,3.809,0.95,216.4,0.95,338,-1.885,0.94,True,0.841,3/4,False,LFP,0.5657,LFP(0.566); LMO(1.980); NMC111(2.364)
Olivine phosphate,Olivine-Mn0.5Fe0.5,LiMn0.5Fe0.5PO4,olivine,0.97,3.827,0.95,218.2,0.95,329,-1.888,0.93,True,0.839,3/4,False,LFP,0.7071,LFP(0.707); LMO(1.871); NMC111(2.345)
Olivine phosphate,Olivine-Mn0.6Fe0.4,LiMn0.6Fe0.4PO4,olivine,0.97,3.842,0.95,219.6,0.95,320,-1.893,0.94,True,0.842,3/4,False,LFP,0.8485,LFP(0.849); LMO(1.766); NMC111(2.335)
Olivine phosphate,Olivine-Mn0.7Fe0.3,LiMn0.7Fe0.3PO4,olivine,0.97,3.856,0.94,220.5,0.95,313,-1.902,0.95,True,0.843,3/4,False,LFP,0.9899,LFP(0.990); LMO(1.667); NMC111(2.334)
Olivine phosphate,Olivine-Mn0.8Fe0.2,LiMn0.8Fe0.2PO4,olivine,0.97,3.867,0.94,221.1,0.95,306,-1.916,0.95,True,0.843,3/4,False,LFP,1.1314,LFP(1.131); LMO(1.575); NMC111(2.341)
Olivine phosphate,Olivine-Mn0.9Fe0.1,LiMn0.9Fe0.1PO4,olivine,0.98,3.877,0.93,221.4,0.95,299,-1.938,0.95,True,0.844,3/4,False,LFP,1.2728,LFP(1.273); LMO(1.490); NMC111(2.357)
Olivine phosphate,Olivine-Mn1.0Fe0.0,LiMnPO4,olivine,0.98,3.886,0.93,221.6,0.95,293,-1.976,0.95,True,0.845,3/4,False,LFP,1.4142,LFP(1.414); LMO(1.414); NMC111(2.380)
Olivine phosphate,Olivine-Co0.0Fe1.0,LiFePO4,olivine,0.98,3.403,0.95,170.4,0.95,399,-1.910,0.95,True,0.931,4/4,True,LFP,0.0000,LFP(0.000); LMO(2.449); NMC111(2.517)
Olivine phosphate,Olivine-Co0.1Fe0.9,LiCo0.1Fe0.9PO4,olivine,0.98,3.718,0.94,204.3,0.95,374,-1.919,0.95,True,0.931,4/4,False,LFP,0.1414,LFP(0.141); LMO(2.412); NMC111(2.467)
Olivine phosphate,Olivine-Co0.2Fe0.8,LiCo0.2Fe0.8PO4,olivine,0.98,3.746,0.95,208.1,0.95,354,-1.921,0.95,True,0.931,4/4,False,LFP,0.2828,LFP(0.283); LMO(2.383); NMC111(2.425)
Olivine phosphate,Olivine-Co0.3Fe0.7,LiCo0.3Fe0.7PO4,olivine,0.98,3.768,0.95,211.3,0.95,336,-1.918,0.95,True,0.931,4/4,False,LFP,0.4243,LFP(0.424); LMO(2.362); NMC111(2.390)
Olivine phosphate,Olivine-Co0.4Fe0.6,LiCo0.4Fe0.6PO4,olivine,0.97,3.787,0.95,213.9,0.95,321,-1.913,0.94,True,0.930,4/4,False,LFP,0.5657,LFP(0.566); LMO(2.349); NMC111(2.364)
Olivine phosphate,Olivine-Co0.5Fe0.5,LiCo0.5Fe0.5PO4,olivine,0.97,3.803,0.95,216.0,0.95,306,-1.867,0.93,True,0.925,4/4,False,LFP,0.7071,LFP(0.707); LCO(2.345); NMC111(2.345)
Olivine phosphate,Olivine-Co0.6Fe0.4,LiCo0.6Fe0.4PO4,olivine,0.97,3.816,0.95,217.6,0.95,293,-1.869,0.94,True,0.928,4/4,False,LFP,0.8485,LFP(0.849); LCO(2.307); NMC111(2.335)
Olivine phosphate,Olivine-Co0.7Fe0.3,LiCo0.7Fe0.3PO4,olivine,0.98,3.827,0.94,218.9,0.95,280,-1.858,0.95,True,0.929,4/4,False,LFP,0.9899,LFP(0.990); LCO(2.276); NMC111(2.334)
Olivine phosphate,Olivine-Co0.8Fe0.2,LiCo0.8Fe0.2PO4,olivine,0.98,3.836,0.94,220.0,0.95,267,-1.844,0.95,True,0.928,4/4,False,LFP,1.1314,LFP(1.131); LCO(2.254); NMC111(2.341)
Olivine phosphate,Olivine-Co0.9Fe0.1,LiCo0.9Fe0.1PO4,olivine,0.98,3.844,0.93,220.8,0.95,254,-1.822,0.95,True,0.928,4/4,False,LFP,1.2728,LFP(1.273); LCO(2.241); NMC111(2.357)
Olivine phosphate,Olivine-Co1.0Fe0.0,LiCoPO4,olivine,0.98,3.850,0.93,221.4,0.95,241,-1.788,0.95,True,0.927,4/4,False,LFP,1.4142,LFP(1.414); LCO(2.236); NMC111(2.380)
Olivine phosphate,Olivine-Ni0.0Fe1.0,LiFePO4,olivine,0.98,3.403,0.95,170.4,0.95,399,-1.910,0.95,True,0.931,4/4,True,LFP,0.0000,LFP(0.000); LMO(2.449); NMC111(2.517)
Olivine phosphate,Olivine-Ni0.1Fe0.9,LiNi0.1Fe0.9PO4,olivine,0.98,3.693,0.94,204.6,0.95,372,-1.919,0.95,True,0.931,4/4,False,LFP,0.1414,LFP(0.141); LMO(2.412); NMC111(2.467)
Olivine phosphate,Olivine-Ni0.2Fe0.8,LiNi0.2Fe0.8PO4,olivine,0.98,3.717,0.95,208.6,0.95,349,-1.923,0.95,True,0.931,4/4,False,LFP,0.2828,LFP(0.283); LMO(2.383); NMC111(2.425)
