functor,material_a,material_b,score,compatible,warnings
battery_metal,Cu_foil,LFP+LiPF6,0.25,False,Known bad combination: Cu_foil+LFP+LiPF6; Electrochemical veto: Cu_foil unstable at LFP operating voltage
battery_metal,Cu_foil,LFP+LiTFSI,0.25,False,Electrochemical veto: Cu_foil unstable at LFP operating voltage
battery_metal,Cu_foil,LCO+LiPF6,0.25,False,Electrochemical veto: Cu_foil unstable at LCO operating voltage
battery_metal,Cu_foil,LCO+LiTFSI,0.25,False,Electrochemical veto: Cu_foil unstable at LCO operating voltage
battery_metal,Cu_foil,Li_metal+LiTFSI,0.25,False,Electrochemical veto: Cu_foil unstable at Li_metal operating voltage
battery_metal,SS_304,NMC811+LiPF6,0.25,False,Electrochemical veto: SS_304 unstable at NMC811 operating voltage
battery_metal,SS_304,NMC811+LiTFSI,0.25,False,Electrochemical veto: SS_304 unstable at NMC811 operating voltage
battery_metal,SS_304,LFP+LiPF6,0.25,False,Electrochemical veto: SS_304 unstable at LFP operating voltage
battery_metal,SS_304,LFP+LiTFSI,0.25,False,Electrochemical veto: SS_304 unstable at LFP operating voltage
battery_metal,SS_304,LCO+LiPF6,0.25,False,Electrochemical veto: SS_304 unstable at LCO operating voltage
battery_metal,SS_304,LCO+LiTFSI,0.25,False,Electrochemical veto: SS_304 unstable at LCO operating voltage
battery_metal,SS_304,Li_metal+LiPF6,0.25,False,Electrochemical veto: SS_304 unstable at Li_metal operating voltage
battery_metal,SS_304,Li_metal+LiTFSI,0.25,False,Electrochemical veto: SS_304 unstable at Li_metal operating voltage
ceramic_metal,Al2O3,Al_6061,0.25,False,CTE veto: Al2O3 (8.1) vs Al_6061 (23.6) x10^-6/K
ceramic_metal,SiC,Al_6061,0.25,False,CTE veto: SiC (4.0) vs Al_6061 (23.6) x10^-6/K
ceramic_metal,Si3N4,Al_6061,0.25,False,CTE veto: Si3N4 (3.2) vs Al_6061 (23.6) x10^-6/K
battery_metal,Ni_foil,NMC811+LiPF6,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,NMC811+LiTFSI,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,LFP+LiPF6,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,LFP+LiTFSI,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,LCO+LiPF6,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,LCO+LiTFSI,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,Graphite+LiPF6,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,Graphite+LiTFSI,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,Si+LiPF6,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,Si+LiTFSI,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,Li_metal+LiPF6,0.0,False,Unknown metal: Ni_foil
battery_metal,Ni_foil,Li_metal+LiTFSI,0.0,False,Unknown metal: Ni_foil
battery_metal,Ti_pure,NMC811+LiPF6,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,NMC811+LiTFSI,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,LFP+LiPF6,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,LFP+LiTFSI,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,LCO+LiPF6,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,LCO+LiTFSI,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,Graphite+LiPF6,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,Graphite+LiTFSI,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,Si+LiPF6,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,Si+LiTFSI,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,Li_metal+LiPF6,0.0,False,Unknown metal: Ti_pure
battery_metal,Ti_pure,Li_metal+LiTFSI,0.0,False,Unknown metal: Ti_pure
ceramic_metal,Al2O3,Cu_C11000,0.0,False,Unknown metal: Cu_C11000
ceramic_metal,ZrO2_YSZ,Cu_C11000,0.0,False,Unknown metal: Cu_C11000
ceramic_metal,TiN,Cu_C11000,0.0,False,Unknown metal: Cu_C11000
ceramic_metal,SiC,Cu_C11000,0.0,False,Unknown metal: Cu_C11000
ceramic_metal,Si3N4,Cu_C11000,0.0,False,Unknown metal: Cu_C11000
ceramic_metal,BN,SS_304,0.0,False,Unknown ceramic: BN
ceramic_metal,BN,Ti6Al4V,0.0,False,Unknown ceramic: BN
ceramic_metal,BN,Inconel_718,0.0,False,Unknown ceramic: BN
ceramic_metal,BN,Al_6061,0.0,False,Unknown ceramic: BN
ceramic_metal,BN,Cu_C11000,0.0,False,Unknown ceramic: BN
